episode,step,observation,action,reward
5,1,[ 1  2  2 32  1  2  0  1  8  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 2, 'withdraw_call_address': 32}",1
5,2,[ 1  3  2 32  2  1  0  2  7  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
5,3,[ 1  3  2 32  3  0  0  4  6  1  1],"{'action': 1, 'deposit_call_address': 2, 'time': 3, 'withdraw_call_address': 32}",1
5,4,[ 1  3  1 35  4  2  0  6  5  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 35}",1
5,5,[ 0  1  0 52  3  3  0  6  5  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 52}",1
5,6,[ 0  2  1 22  2  2  0  5  5  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 22}",1
5,7,[ 1  2  0 32  3  2  2  6  4  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 32}",1
5,8,[ 0  3  1 49  2  2  0  6  4  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 3, 'withdraw_call_address': 49}",1
5,9,[1 2 0 8 3 1 0 7 3 1 1],"{'action': 1, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 8}",1
5,10,[ 1  1  0 45  4  0  0  8  2  1  1],"{'action': 1, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 45}",1
5,11,[ 1  2  1 40  5  1  0  9  1  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 40}",1
5,12,[ 0  3  0 28  4  0  0  8  1  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 28}",1
5,13,[ 0  0  1 34  3  1  0  7  1  1  1],"{'action': 0, 'deposit_call_address': 1, 'time': 0, 'withdraw_call_address': 34}",1
5,14,[ 0  2  0 46  2  0  0  7  1  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 2, 'withdraw_call_address': 46}",1
5,15,[ 1  2  1 22  3  0  0  9  0  1  1],"{'action': 1, 'deposit_call_address': 1, 'time': 2, 'withdraw_call_address': 22}",1
5,16,[0 1 1 0 2 0 0 8 0 1 0],"{'action': 0, 'deposit_call_address': 1, 'time': 1, 'withdraw_call_address': 0}",1
5,17,[ 0  1  0 44  1  0  0  7  0  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 1, 'withdraw_call_address': 44}",1
5,18,[ 0  3  0 21  0  0  0  6  0  1  1],"{'action': 0, 'deposit_call_address': 0, 'time': 3, 'withdraw_call_address': 21}",1
